"","YEAR","pct_missing_NATNOTICE","pct_missing_NATVIEWS","pct_missing_NATACCESS","pct_missing_NATTIME","pct_missing_NATSAT","pct_missing_NATTIMEOK","pct_missing_NATRELAX","pct_missing_NATACTIVE","pct_missing_NATMEET","pct_missing_SCIWORSE","pct_missing_HARMSGRN","pct_missing_NATURPAX","pct_missing_NATURWAR","pct_missing_GRWTHARM","pct_missing_NATRECON","pct_missing_KNWCAUSE","pct_missing_KNOWSOL","pct_missing_GRNEFFME","pct_missing_TEMPGEN1","pct_missing_VOLENVIR","pct_missing_MONENVIR","pct_missing_HRSENVIR","pct_missing_GIVENVIR","pct_missing_TOTENVIR","pct_missing_VALENVIR","pct_missing_ENVIRO12","pct_missing_INTENVIR","pct_missing_GRNCON","pct_missing_NATENVIY","pct_missing_NATENVIZ"
"1",1972,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"2",1973,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"3",1974,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"4",1975,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"5",1976,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"6",1977,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"7",1978,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"8",1980,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"9",1982,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"10",1983,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"11",1984,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,68.5675492192804,68.4317718940937
"12",1985,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52.0208604954368,100
"13",1986,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52.9931972789116,100
"14",1987,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,37.9329301814184,100
"15",1988,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52.3295070898042,100
"16",1989,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.4157449577098,100
"17",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52.2594752186589,100
"18",1991,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.3948582729071,100
"19",1993,100,100,100,100,100,100,100,100,100,10.772104607721,7.59651307596513,7.97011207970112,10.7098381070984,9.77584059775841,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52.7397260273973,100
"20",1994,100,100,100,100,100,100,100,100,100,57.0521390374332,56.0828877005348,55.3810160427808,57.8877005347594,56.7179144385027,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.5762032085562,100
"21",1996,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.5123966942149,100,100,100,100,53.6845730027548,96.797520661157,98.6225895316804,56.129476584022,95.9366391184573,97.4173553719008,100,100,100,53.4779614325069,100
"22",1998,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51.9067796610169,100
"23",2000,100,100,100,100,100,100,100,100,100,100,58.4309549165779,100,100,59.2474263400781,100,100,100,100,100,100,100,100,100,100,100,90.0958466453674,100,100,52.2541711040114,100
"24",2002,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88.8245931283906,100,100,50.5244122965642,100
"25",2004,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51.4580369843528,100
"26",2006,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67.8048780487805,100
"27",2008,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26.1987147800297,100,51.161641127039,100
"28",2010,100,100,100,100,100,100,100,100,100,100,32.4363992172211,100,100,33.4148727984344,100,32.4853228962818,32.5831702544031,32.6320939334638,35.1761252446184,100,100,100,100,100,100,100,65.6555772994129,31.3111545988258,51.174168297456,100
"29",2012,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,49.7973657548126,100,53.1408308004053,100
"30",2014,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51.2214342001576,100,51.8912529550827,100
"31",2016,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51.6567840948727,100,51.4126264387862,100
"32",2018,51.1925042589438,51.1925042589438,51.2350936967632,51.1499148211244,51.1925042589438,51.1925042589438,51.1925042589438,51.1925042589438,51.3628620102215,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.0425894378194,100,52.3424190800681,100
